409-95-6118;F;Amlodipine Besylate;06/01/2018;China
532-11-6831;F;acarbose;15/12/2018;Nigeria
372-40-5887;F;AIR;01/07/2019;Peru
181-25-8778;M;Allergy and Red Eye Relief;05/11/2019;China
899-33-7718;M;Alprazolam;20/05/2019;Guatemala
301-69-3639;M;Amnesteem;29/07/2019;Guatemala
437-23-2283;M;Amoxicillin;02/05/2019;China
433-13-1617;F;AMOXICILLIN;20/10/2018;Indonesia
735-02-6249;F;Anti Itch;05/03/2020;Poland
599-76-0978;F;Apizelen;09/07/2019;Indonesia
668-99-6558;M;Arnica Forte;01/09/2019;United States
724-84-0632;M;Arnica Montana Nartex;20/02/2018;Japan
157-53-0653;M;Atenolol;15/11/2019;Indonesia
127-80-0097;M;ATORVASTATIN CALCIUM;08/12/2019;Indonesia
257-10-7406;F;ATORVASTATIN CALCIUM;09/10/2018;Portugal
213-19-2094;F;being well nasal;09/03/2019;Philippines
678-01-5371;F;Bio Psorinum Phase;05/11/2018;Thailand
528-18-6859;F;Borasol;26/06/2018;China
441-28-1370;F;BreathAway;26/09/2018;Philippines
855-64-4283;M;Bumetanide;27/12/2019;United States
281-34-0535;M;Bupropion Hydrochloride;05/12/2019;Cameroon
435-44-1240;M;Bur Oak;20/02/2019;Mexico
816-41-1061;M;Captopril;22/10/2018;Iran
782-01-6908;M;Carbamazepine;25/12/2018;South Korea
778-80-7249;M;Care One cold head congestion;21/02/2020;Norway
847-02-0951;M;Careless Weed Pollen;10/04/2018;Poland
442-31-0088;F;Carvedilol;01/06/2019;Kazakhstan
372-75-3118;M;CEFAZOLIN;03/03/2018;France
505-66-2051;M;Ceftriaxone Sodium;05/03/2019;Mexico
270-91-7136;F;Celox Ultra;28/11/2018;Poland
528-91-2949;F;cilostazol;06/01/2020;Greece
362-49-9493;F;Cimetidine;20/04/2018;France
609-94-7794;M;ciprofloxacin;22/09/2019;United States
183-75-5616;M;Citrus Cydonia 3;13/07/2018;Mexico
513-35-6303;M;Clarithromycin;19/03/2019;Thailand
747-87-6601;M;Claritin-D;19/09/2018;Sweden
113-31-7679;F;Clonazepam;11/08/2019;Greece
398-12-2883;F;Codfish;23/06/2018;Philippines
219-61-2101;M;Cold and Hot Medicated;25/10/2019;Morocco
770-49-6916;F;CPDA-1;15/09/2018;Ukraine
301-54-2985;F;Crab;31/03/2019;United States
341-22-9829;M;Crest Pro-Health;25/04/2019;Latvia
521-70-5656;F;Cyclobenzaprine Hydrochloride;21/05/2020;Philippines
243-68-3449;M;Decitabine;10/04/2019;Honduras
243-68-3449;M;Decitabine;10/04/2019;Honduras
520-97-9920;F;DELFLEX;22/04/2019;Sweden
492-44-1876;F;denovo 3 H;15/03/2020;Norway
790-42-8035;F;Desmopressin Acetate;27/10/2019;Philippines
838-31-6807;F;dg health allergy relief;01/05/2018;Russia
348-14-4115;M;Diazepam;21/03/2020;Thailand
348-14-4115;M;Diazepam;21/03/2020;Thailand
509-97-4744;F;Diltiazem Hydrochloride;17/09/2019;Mexico
535-06-0834;M;Diltiazem Hydrochloride;21/03/2020;China
660-08-5107;M;Diovan HCT;27/10/2018;New Zealand
687-76-3912;M;DIPYRIDAMOLE;04/06/2019;Iran
897-75-6927;F;DRITHO-CREME;03/01/2019;Indonesia
198-10-2811;M;Ear Ringing;21/02/2020;China
631-59-3381;M;Easy;15/10/2018;France
164-30-9776;M;Effexor;02/05/2020;Brazil
796-08-8094;F;ENALAPRIL MALEATE;18/02/2018;Brazil
427-56-7323;M;ENALAPRIL MALEATE;20/03/2019;Guinea-Bissau
607-83-7735;F;Enalapril Maleate;09/08/2018;Russia
217-41-6721;M;Enalaprilat;17/01/2018;Philippines
459-82-4236;F;Epirubicin Hydrochloride;09/02/2019;France
736-75-5150;M;Equaline nighttime;27/07/2019;Ireland
709-92-1250;F;equate nite time;08/08/2018;France
697-73-9118;M;Ery-Tab;25/04/2020;France
594-27-9150;F;Estradiol;18/04/2018;France
171-46-7401;F;Etomidate;12/09/2018;Sweden
184-06-2967;F;Etomidate;09/03/2018;Honduras
540-93-5673;F;EXCHANGE SELECT NICOTINE TRANSDERMAL SYSTEM;09/09/2018;China
453-19-4056;M;Femmesil;18/05/2020;France
540-72-0436;F;Fentanyl Citrate;09/01/2020;Peru
419-88-7223;M;Flaxseed;14/08/2019;Philippines
308-64-7499;M;Fluoxetine;31/01/2020;Indonesia
780-09-2039;F;Furosemide;21/04/2019;Sweden
186-07-3326;M;Gabapentin;19/02/2018;China
135-58-1729;F;Gabapentin;11/06/2019;Russia
476-38-6966;F;GAVISCON;12/01/2018;Sweden
269-90-4775;M;Gerbil Epithelium;22/08/2019;Bolivia
206-23-9608;M;Good Sense Antacid;05/04/2018;Pakistan
877-17-6866;F;Haloperidol;31/01/2019;Philippines
295-25-8104;F;Hand Sanitizer;26/02/2020;Yemen
307-37-3981;M;Harris Teeter;30/05/2019;Morocco
547-66-4418;M;Head and Shoulders;04/04/2018;Albania
889-50-3588;M;Health Mart Pain Relief;07/02/2019;Vietnam
897-59-5288;M;hemorrhoidal;27/12/2018;Philippines
684-73-4568;M;Hemorrhoidal Cooling Gel;11/11/2018;Indonesia
531-57-9676;F;Herring;06/02/2019;Mexico
547-67-9269;F;Ibuprofen;31/07/2019;Iran
588-15-2963;F;IMAGE ESSENTIALS;22/10/2019;Azerbaijan
286-13-4719;M;Isoniazid;23/03/2020;Armenia
640-49-0986;M;Isopropyl Alcohol;21/06/2019;Cameroon
836-62-7182;F;Jute;28/04/2020;China
637-02-7143;M;Kochia;19/05/2019;Philippines
237-90-7860;F;LAMICTAL;12/09/2018;Albania
789-49-5040;M;Lamotrigine;17/07/2019;Mexico
498-25-3391;F;Lamotrigine;17/10/2019;Libya
690-85-1234;F;Lamotrigine;19/05/2018;Indonesia
827-42-2662;M;LBEL Couler Luxe Supreme XP;18/10/2018;Afghanistan
877-65-9423;M;LBEL Couler Luxe Supreme XP;20/01/2020;Costa Rica
411-57-0345;M;LE TECHNIQ;04/01/2019;Czech Republic
428-85-4824;M;Levetiracetam;07/05/2019;Philippines
252-40-6054;M;Levothyroxine Sodium;15/01/2019;China
775-51-3245;M;Lidocaine Hydrochloride and Epinephrine;12/01/2019;Japan
606-46-5010;F;Lisinopril;08/02/2019;Brazil
453-82-3970;M;Ludens Honey Lemon Throat Drops;08/01/2018;Poland
148-94-2965;F;Lysol;25/04/2018;Ghana
273-52-4462;M;MANGO BUTTER LIPSTICK;01/07/2018;Sweden
837-82-5679;F;Mark 3;08/12/2019;United States
786-42-7889;F;Metronidazole;26/12/2019;China
290-16-8087;F;Mirtazapine;21/09/2018;Benin
839-90-6374;F;Mirtazapine;13/06/2018;South Korea
670-11-7247;F;Mirtazapine;30/12/2019;United States
509-86-2716;F;Monoket;11/08/2019;Sweden
735-64-7378;M;Natureplex;15/09/2018;France
888-90-1055;M;Nerve Pain;06/01/2018;Croatia
873-14-6714;M;Neutrogena Mineral Sheers;19/08/2019;Japan
333-91-2361;F;Nite Time;29/11/2018;France
534-44-7356;F;Nitrofurantoin (macrocrystals);08/03/2020;Paraguay
202-68-4012;F;Nitrogen;06/01/2019;France
261-65-5539;M;Noble Lion Medicated Balm;30/11/2018;Netherlands
360-86-6561;F;Normosol-R;20/05/2019;Morocco
812-54-8260;F;NUCYNTA;27/09/2019;Russia
752-42-1481;M;Ofloxacin;26/04/2018;Brazil
697-79-3004;F;Olanzapine;13/05/2020;Sweden
508-54-3666;F;Old Spice Fresh Collection;16/07/2018;China
174-63-3209;M;Oral-B;02/01/2020;Ireland
643-71-7684;M;Oxygen;24/05/2020;Argentina
124-32-7408;M;Oxygen;19/04/2018;Indonesia
685-93-7716;M;Oxygen;23/02/2019;Thailand
719-09-1144;M;Oxygen;08/09/2018;Sweden
158-13-6330;M;Oxygen;30/03/2019;Czech Republic
172-97-5003;M;Oxygen;31/10/2018;Philippines
752-91-0664;F;PANTOPRAZOLE SODIUM;06/11/2019;Finland
392-05-0741;F;Phenazopyridine HCl;11/03/2018;Poland
809-12-9382;M;Phenazopyridine Hydrochloride;28/09/2018;Poland
692-45-5196;M;Phosphasal;15/07/2018;Philippines
